experiment_id,kind,status,cases,method_records,model_calls,first_calls,retry_calls,review_calls,applied_edits,exact_gold_repairs,missed_gold_errors,changed_controls,unchanged_controls,complete_trials,stopped_trials,distinct_calls,new_model_calls,inherited_calls,verified_checkpoints
007-b-replacement,recovery,FAILED_BEFORE_PROXY_CONTACT,,,,,,,,,,,,,,,,,
007-b-timeout300,recovery,COMPLETED_CONTROLLED_WITH_INVALID_TRACE_ASSOCIATION,,,,,,,,,,,,,,,,,
nonthinking-mechanical,variant,COMPLETED,32,,10,,0,10,4,2,5,1,24,,,,,,
low-thinking-mechanical,variant,COMPLETED,32,,10,,0,10,6,3,4,1,24,,,,,,
high-thinking-mechanical,variant,STOPPED,,,,,,,,,,,,,,,,,
xhigh-thinking-mechanical,variant,COMPLETED,32,,10,,0,10,8,4,3,1,24,,,,,,
low-plus-validator,variant,COMPLETED,32,,6,,0,0,6,3,4,,24,,,,,,
low-unigram-retry,variant,COMPLETED,32,,2,,2,0,4,3,4,0,25,,,,,,
low-word-only-retry,variant,STOPPED_WITH_WHITESPACE_CONTINUATION,,,,,,,,,,,,,,,,,
full-hyphen-space-low,variant,COMPLETED,32,,10,,1,9,5,3,4,0,25,,,,,,
full-hyphen-case-low,variant,COMPLETED,32,,11,,2,9,2,2,5,0,25,,,,,,
ten-run-initial-case-low,study,COMPLETED_WITH_STOPPED_TRIALS,,,97,87,10,,,,,,,8,2,,,,
ten-run-expression-retry-low,study,COMPLETED_WITH_STOPPED_TRIALS,,,103,90,13,,,,,,,9,1,,,,
ten-run-english-preserve-low,study,COMPLETED_ALL_TEN_TRIALS,,,95,80,15,,,,,,,10,0,,,,
large-evaluation-capped,campaign,INFERENCE_STARTED_NOT_COMPLETED,,,,,,,,,,,,,,,,,
large-evaluation-uncapped,campaign,PAUSED_BY_HUMAN_RELEVANCE_CHANGE,,,,,,,,,,,,,,,,,
dassle-spelling-preparation,preparation,COMPLETE_LOCAL_EVIDENCE_WITH_RECORDED_INCIDENTS,,11892,6195,,,,,,,,,,,,,,
dassle-uv-audit,audit,COMPLETE_EXHAUSTIVE_MECHANICAL_AUDIT,,,,,,,,,,,,,,,0,,
full-campaign8,campaign,COMPLETED_LOCAL_CAMPAIGN_REMOTE_SCORING_PENDING,16375,65500,39184,,,,,,,,,,,39184,31916,7268,1419
prijigrala-retry10,variant,COMPLETE,,,4,,,,,,,,,,,,,,
levenshtein-lookup-diagnostic,diagnostic,NOT_A_BENCHMARK,,,0,,,,,,,,,,,,,,
